grayscale,gaussian_blur,canny,roi_mask,hough_transform,draw_lines,total
0.0028541088104248047,0.0,0.009300947189331055,0.004534482955932617,0.0024843215942382812,0.008725643157958984,0.027899503707885742
0.0,0.0037076473236083984,0.004870414733886719,0.0020177364349365234,0.00544428825378418,0.0,0.01604008674621582
0.0004954338073730469,0.0,0.004029273986816406,0.0020112991333007812,0.0,0.006180524826049805,0.012716531753540039
0.0,0.0,0.0063245296478271484,0.0032701492309570312,0.0,0.008254766464233398,0.017849445343017578
0.0,0.004904747009277344,0.0040323734283447266,0.0,0.003498077392578125,0.0,0.012435197830200195
0.0,0.0,0.0057752132415771484,0.0,0.0020830631256103516,0.0,0.0078582763671875
0.0006921291351318359,0.0008022785186767578,0.0024280548095703125,0.0020117759704589844,0.004151582717895508,0.002905130386352539,0.012990951538085938
0.0006008148193359375,0.0006005764007568359,0.004884243011474609,0.0010654926300048828,0.0040187835693359375,0.0028083324432373047,0.013978242874145508
0.0,0.000583648681640625,0.004437446594238281,0.0015423297882080078,0.004115581512451172,0.0035283565521240234,0.01420736312866211
0.0,0.0009660720825195312,0.0044536590576171875,0.0014917850494384766,0.00482940673828125,0.002742290496826172,0.014483213424682617
0.00031685829162597656,0.0010213851928710938,0.004226207733154297,0.0015840530395507812,0.0041294097900390625,0.002829313278198242,0.014107227325439453
0.0005776882171630859,0.0,0.0054779052734375,0.0006504058837890625,0.002259492874145508,0.004968166351318359,0.013933658599853516
0.0005900859832763672,0.0,0.005034208297729492,0.0,0.0054492950439453125,0.003355264663696289,0.014428853988647461
0.0005726814270019531,0.0006501674652099609,0.0034596920013427734,0.0009539127349853516,0.004740476608276367,0.003442525863647461,0.013819456100463867
0.0,0.0,0.0062329769134521484,0.0008282661437988281,0.002437114715576172,0.0,0.009498357772827148
0.0005664825439453125,0.0,0.005484819412231445,0.0005681514739990234,0.00487065315246582,0.0,0.011490106582641602
0.0,0.0,0.009059429168701172,0.0,0.0038890838623046875,0.002098560333251953,0.015047073364257812
0.0,0.0064547061920166016,0.0035316944122314453,0.002063274383544922,0.002887248992919922,0.0,0.01493692398071289
0.0,0.0,0.006985187530517578,0.00136566162109375,0.0008249282836914062,0.006580352783203125,0.01575613021850586
0.0,0.0,0.005241870880126953,0.004254817962646484,0.003052234649658203,0.0,0.01254892349243164
0.0,0.0,0.017960548400878906,0.002021312713623047,0.0,0.0,0.019981861114501953
0.0,0.003448963165283203,0.0029850006103515625,0.005969524383544922,0.0036470890045166016,0.0,0.01605057716369629
0.0,0.0,0.018774986267089844,0.0027358531951904297,0.004675626754760742,0.0027894973754882812,0.028975963592529297
0.0,0.0,0.0077860355377197266,0.0033817291259765625,0.004800319671630859,0.0005364418029785156,0.016504526138305664
0.0,0.0,0.00864410400390625,0.0020194053649902344,0.0,0.007315874099731445,0.01797938346862793
0.0,0.0,0.0,0.00958704948425293,0.0,0.0071659088134765625,0.016752958297729492
0.0,0.008828163146972656,0.002021312713623047,0.0,0.00589442253112793,0.0,0.016743898391723633
0.0,0.0,0.009340286254882812,0.003194093704223633,0.0,0.0,0.012534379959106445
0.0,0.0,0.0073964595794677734,0.0,0.009004354476928711,0.0004374980926513672,0.01683831214904785
0.0,0.0,0.016872167587280273,0.0026183128356933594,0.0,0.0,0.019490480422973633
0.0,0.0,0.007227182388305664,0.004370450973510742,0.004052162170410156,0.0007443428039550781,0.01639413833618164
0.0,0.01092839241027832,0.006467103958129883,0.0,0.0,0.009535551071166992,0.026931047439575195
0.0,0.0,0.009538650512695312,0.0020225048065185547,0.004022359848022461,0.001268625259399414,0.016852140426635742
0.0,0.0,0.008499383926391602,0.0,0.0,0.0,0.008499383926391602
0.0,0.0,0.0,0.0,0.014348745346069336,0.0032579898834228516,0.017606735229492188
0.0,0.010874748229980469,0.003123044967651367,0.005000591278076172,0.0,0.0,0.018998384475708008
0.0,0.0,0.008384466171264648,0.0,0.01089167594909668,0.0,0.019276142120361328
